getNumber,getMergedAt,getClosedAt,getCreatedAt,getUpdatedAt,getHtmlUrl,getUser().getLogin,numCommits,getBase().getSha,getBase().getLabel,getHead().getSha,getHead().getLabel,getDiffUrl,getTitle,nonAuthorCommentsCount,nonAuthorReviewsCount,closedBy,closedByAuthor,closedByBot,isFPAny,isFPLast
8092,null,Thu Oct 23 15:13:39 CEST 2014,Wed Oct 15 14:23:25 CEST 2014,Sun Jun 07 19:05:08 CEST 2015,https://github.com/elastic/elasticsearch/pull/8092,bleskes,11,331b43350eef6d5038afa27422a31e44524f8a54,elastic:1.x,8997284b44270c578f246a37b3886f55f8c3bde7,elastic:enhancement/recovery_target_rewrite,https://github.com/elastic/elasticsearch/pull/8092.diff,Refactor RecoveryTarget state management,2,26,bleskes,TRUE,FALSE,TRUE,TRUE
7675,null,Thu Sep 11 13:20:01 CEST 2014,Wed Sep 10 15:54:54 CEST 2014,Sun Jun 07 14:03:56 CEST 2015,https://github.com/elastic/elasticsearch/pull/7675,javanna,2,a50934ea3edb9bf42b3eb1f47db53fc088e9cb7d,elastic:master,200f845753c4973e58260565b90ef8a8355bc8ec,javanna:enhancement/relevant_headers_rest_controller,https://github.com/elastic/elasticsearch/pull/7675.diff,Refactor copy headers mechanism to not require a client factory,5,3,javanna,TRUE,FALSE,FALSE,FALSE
7594,null,Wed Sep 10 12:06:25 CEST 2014,Thu Sep 04 18:05:49 CEST 2014,Sun Jun 07 14:06:20 CEST 2015,https://github.com/elastic/elasticsearch/pull/7594,javanna,2,ee3cbce11804b1bc1ae49cc3245753422a24277a,elastic:master,2d399ef389bd2150af77f391e5b5e989d5d3dd18,javanna:enhancement/rest_client_factory,https://github.com/elastic/elasticsearch/pull/7594.diff,Refactor copy headers mechanism in REST API,2,3,javanna,TRUE,FALSE,TRUE,FALSE
7451,null,Fri Feb 20 12:50:28 CET 2015,Tue Aug 26 09:24:53 CEST 2014,Wed Feb 25 09:53:17 CET 2015,https://github.com/elastic/elasticsearch/pull/7451,brwe,2,c88f55ab52291f6caa6c16396df2403a606c2685,elastic:master,9bc6fde4cdb12ede640946a4ddaf578adbd2854d,brwe:field-mapper-parsing-refactor,https://github.com/elastic/elasticsearch/pull/7451.diff,document field parsing: refactor to remove external value mechanism,3,0,brwe,TRUE,FALSE,TRUE,FALSE
7446,null,Wed Aug 27 17:58:19 CEST 2014,Tue Aug 26 01:27:34 CEST 2014,Wed Feb 14 14:40:14 CET 2018,https://github.com/elastic/elasticsearch/pull/7446,rjernst,5,b43c2ced9350dca92224f0199b25db64b11e485b,elastic:master,91b8e6dceeb6caf2c2ba030bca81d2309e685304,rjernst:pr/6907,https://github.com/elastic/elasticsearch/pull/7446.diff,"Function Score: Refactor RandomScoreFunction to be consistent, and return values in range [0.0, 1.0]",3,7,rjernst,TRUE,FALSE,TRUE,FALSE
7214,null,Mon Aug 11 11:09:07 CEST 2014,Sat Aug 09 03:33:24 CEST 2014,Sun Jun 07 14:27:01 CEST 2015,https://github.com/elastic/elasticsearch/pull/7214,javanna,2,01a8c160473253bac0db77f108dd09c5fc0f3b69,elastic:1.x,6f8fc1ae3b27becab860f07d0e25eea0d12257a3,javanna:enhancement/get_field_mappings,https://github.com/elastic/elasticsearch/pull/7214.diff,"Refactored TransportSingleCustomOperationAction, subclasses and requests",1,1,javanna,TRUE,FALSE,FALSE,FALSE
5208,null,Wed Feb 26 19:05:36 CET 2014,Fri Feb 21 00:06:07 CET 2014,Wed Feb 14 14:31:25 CET 2018,https://github.com/elastic/elasticsearch/pull/5208,dakrone,2,55101edb4690bc7d17266f6c769c80930a4736b6,elastic:master,d1eec3669549a00339e486a8c82a3ed425332b60,dakrone:5011-lenient-flag-sqs2,https://github.com/elastic/elasticsearch/pull/5208.diff,"Refactor SimpleQueryParser settings into separate Settings class, add ""lenient"" option",2,1,dakrone,TRUE,FALSE,TRUE,FALSE
3520,null,Sat Sep 14 09:15:06 CEST 2013,Fri Aug 16 09:19:07 CEST 2013,Fri Jun 27 07:05:25 CEST 2014,https://github.com/elastic/elasticsearch/pull/3520,CloCkWeRX,12,f0914d13af4e4c0a2c363e9e64c930e815d8aaba,elastic:master,ccf5d31d9d29ca8be4032c81c62d8273934acb4d,CloCkWeRX:master,https://github.com/elastic/elasticsearch/pull/3520.diff,"Refactor the plugin manager to be more readable, focused",2,0,dadoonet,FALSE,FALSE,FALSE,FALSE
338,null,Fri May 26 11:23:13 CEST 2017,Fri May 26 10:10:59 CEST 2017,Fri May 26 11:27:35 CEST 2017,https://github.com/elasticjob/elastic-job-lite/pull/338,Zhangxinguo,2,77114104b5c8c7c496fd51662916d7d0fa399176,elasticjob:2.1.3-SNAPSHOT,e6341f5d7fdadfea7f2644aebcfaa0d3ca0a13b6,Zhangxinguo:2.1.3-SNAPSHOT,https://github.com/elasticjob/elastic-job-lite/pull/338.diff,refactor code for authority property,2,0,Zhangxinguo,TRUE,FALSE,FALSE,FALSE
288,null,Tue Apr 18 08:21:58 CEST 2017,Tue Apr 18 04:13:15 CEST 2017,Tue Apr 18 08:21:58 CEST 2017,https://github.com/elasticjob/elastic-job-lite/pull/288,kaixinqiqi,2,d56a762fd5adb87eb474fa61b80fd4015db5c054,elasticjob:2.1.1,1bcaf272dad5310c284cbd2dc521bad5579f8ffb,kaixinqiqi:2.1.1,https://github.com/elasticjob/elastic-job-lite/pull/288.diff,Refactor codes for bootrap,2,0,kaixinqiqi,TRUE,FALSE,FALSE,FALSE
152,null,Sun Apr 05 07:58:54 CEST 2015,Sun Mar 29 06:20:08 CEST 2015,Sun Apr 05 16:47:12 CEST 2015,https://github.com/embulk/embulk/pull/152,hata,2,640de40b4fa052a1bd5432fc6862bbd08ea94896,embulk:master,b23540a8d8ead3bad0fe343efae4bfb4b2d7d4c9,hata:refactor/embulk/csv-plugin-alloc-visitor-instances,https://github.com/embulk/embulk/pull/152.diff,Refactor ColumnVisitor instances in loop for CsvParserPlugin and CsvFormatterPlugin,1,0,frsyuki,FALSE,FALSE,FALSE,FALSE
48,null,Tue Dec 20 14:23:41 CET 2016,Mon Jun 13 18:00:40 CEST 2016,Tue Dec 20 14:23:41 CET 2016,https://github.com/estatio/estatio/pull/48,sanderginn,15,61e6a9ec5ab234bcc4de7f979b1e729bdc2be947,estatio:master,7f79c6a9aed9589c88315dfc22ff1058d7fab902,estatio:EST-714-refactor-injectXxx,https://github.com/estatio/estatio/pull/48.diff,EST-714: refactor InjectXxx,1,0,danhaywood,FALSE,FALSE,FALSE,FALSE
325,null,Thu Nov 19 09:06:28 CET 2015,Fri Nov 13 23:19:38 CET 2015,Thu Nov 19 12:10:47 CET 2015,https://github.com/ethereum/ethereumj/pull/325,adrian-tiberius,2,3a481fa58aaaa746e057f4f08b06fe799a8b321e,ethereum:stage,0f17c389e63771fdae67a29b137467015a79f435,adrian-tiberius:stage,https://github.com/ethereum/ethereumj/pull/325.diff,Net refactoring and dependency cleaning.,4,0,adrian-tiberius,TRUE,FALSE,TRUE,FALSE
1144,null,Thu Nov 21 20:20:57 CET 2019,Fri Dec 21 07:15:24 CET 2018,Thu Nov 21 20:20:57 CET 2019,https://github.com/fabric8io/docker-maven-plugin/pull/1144,rohanKanojia,2,b414b9b065c45b8d26cc76b978b37f727f15cfd3,fabric8io:master,bb0a9c55e332256342fc73ae9b1ce68e3dc5bff2,rohanKanojia:changePropertyPrefixes,https://github.com/fabric8io/docker-maven-plugin/pull/1144.diff,Refactor Mojos to get rid of direct member field access of @Parameter properties,0,3,rohanKanojia,TRUE,FALSE,TRUE,TRUE
463,null,Sat Oct 17 06:14:44 CEST 2015,Wed Oct 14 18:05:58 CEST 2015,Thu Mar 24 00:38:56 CET 2016,https://github.com/facebook/buck/pull/463,mread,3,7e153d4a69044d059288d353fc1a442e07cbea58,facebook:master,4706ba31e92e4d8897d925fccc3428a81ff6c9ae,LMAX-Exchange:refactor/remove-getAbiKey,https://github.com/facebook/buck/pull/463.diff,Refactor: remove getAbiKey() method,1,0,Gray0Ed,FALSE,FALSE,FALSE,FALSE
1707,null,Sat Jan 20 03:56:44 CET 2018,Thu Jan 11 00:33:51 CET 2018,Thu Dec 13 02:27:24 CET 2018,https://github.com/facebook/buck/pull/1707,jiangty-addepar,2,5baf1bc013c492311e3be3ca366d98a13f8f25cd,facebook:master,00dc6befa308429c7f073b225823e32a29893579,Addepar:addepar/testng-remove-xmlsuite,https://github.com/facebook/buck/pull/1707.diff,"Refactor TestNG runner: remove TmpSuite, TestNGWrapper",1,0,facebook-github-bot,FALSE,TRUE,FALSE,FALSE
944,null,Wed Oct 26 17:03:16 CEST 2016,Thu Oct 13 16:22:11 CEST 2016,Wed Oct 26 17:03:58 CEST 2016,https://github.com/facebook/buck/pull/944,nguyentruongtho,5,c01efc3f3bbf3e81307e0adb9d47bc9e3dc548cc,facebook:master,92beede48bc754f77ada5eeed1279bdccf31af82,nguyentruongtho:tho/split_rule3,https://github.com/facebook/buck/pull/944.diff,Refactor CxxPrepareForLinkStep for a reuseable & more generic step,9,1,facebook-github-bot,FALSE,TRUE,FALSE,FALSE
703,null,Sun Aug 13 12:44:34 CEST 2017,Sun Jul 23 01:51:47 CEST 2017,Sun Aug 13 12:44:34 CEST 2017,https://github.com/farkam135/GoIV/pull/703,AndrewMcQuerry,2,132900cb27a8a967cf6c022fa982c23aacd40655,farkam135:refactorPokeflyAttempt,36e768cc7b1f4a27c1a685d8b01eac675f975c0f,AndrewMcQuerry:refactorPokeflyAttemptbuttonSizing,https://github.com/farkam135/GoIV/pull/703.diff,Refactor pokefly attempt - button sizing update,1,0,nahojjjen,FALSE,FALSE,TRUE,TRUE
468,null,Sun Aug 13 12:45:32 CEST 2017,Fri Sep 23 18:02:31 CEST 2016,Sun Aug 13 12:45:32 CEST 2017,https://github.com/farkam135/GoIV/pull/468,DJCrapsody,8,f9a9f95179520937404f0a8ea0584aee5cc5db1e,farkam135:master,d854911d9a316dced79d28aea16d97c392eae9eb,DJCrapsody:resource-refactor,https://github.com/farkam135/GoIV/pull/468.diff,Refactor resources and string fixes,5,16,nahojjjen,FALSE,FALSE,TRUE,FALSE
168,null,Wed Aug 24 17:49:44 CEST 2016,Wed Aug 24 15:22:12 CEST 2016,Wed Aug 24 18:08:47 CEST 2016,https://github.com/farkam135/GoIV/pull/168,nahojjjen,22,37336a661e400d2c0a47b4823f6ed6347954d9ee,farkam135:master,df214a4b33f0d438287e825f98237991cf9ba1c4,nahojjjen:master,https://github.com/farkam135/GoIV/pull/168.diff,"Refactors the scanPokemon method, build on top of blaisorblades crashfix",10,4,nahojjjen,TRUE,FALSE,FALSE,FALSE
84,null,Thu Aug 25 03:21:22 CEST 2016,Fri Aug 19 12:29:17 CEST 2016,Thu Aug 25 04:28:12 CEST 2016,https://github.com/farkam135/GoIV/pull/84,magiepooh,3,3b8cf83753464feb9f8cde958f32c22322926f63,farkam135:master,2eb91a1ff9fdaf47de46bbd675234d4a2e0b644a,magiepooh:refactor,https://github.com/farkam135/GoIV/pull/84.diff,Refactor,5,3,Blaisorblade,FALSE,FALSE,TRUE,FALSE
73,null,Thu Aug 18 23:34:58 CEST 2016,Thu Aug 18 15:36:14 CEST 2016,Thu Aug 18 23:35:21 CEST 2016,https://github.com/farkam135/GoIV/pull/73,nahojjjen,3,bf5d0e750879947c3243fc2f6a61bf7733e0f6eb,farkam135:master,64dcbe4d0aa7ab04341f0da633be1131ee50a3d6,nahojjjen:master,https://github.com/farkam135/GoIV/pull/73.diff,Refactoring to make pokefly more readable ,1,0,nahojjjen,TRUE,FALSE,FALSE,FALSE
895,null,Mon Aug 31 20:20:09 CEST 2015,Fri Aug 28 23:05:54 CEST 2015,Mon Aug 31 23:01:44 CEST 2015,https://github.com/fcrepo4/fcrepo4/pull/895,peichman-umd,2,b53c841ff52129d34ab8caaadece73956a6a30a0,fcrepo4:master,b2af8bf051e401451c9a299da50e7cbc4c759e73,peichman-umd:fcrepo-1713,https://github.com/fcrepo4/fcrepo4/pull/895.diff,FCREPO-1713. Refactor EVERYONE user principal into the FAD.,1,5,awoods,FALSE,FALSE,FALSE,FALSE
470,null,Mon Sep 15 22:31:21 CEST 2014,Mon Sep 15 15:30:46 CEST 2014,Fri Oct 17 02:25:39 CEST 2014,https://github.com/fcrepo4/fcrepo4/pull/470,cbeer,4,e1338261057809117c1d162454442e42473d7a4c,fcrepo4:remove-unused-methods,e0b114f0805f3a6189e21f070b2672e0ec4dbac7,fcrepo4:kernel-refactor,https://github.com/fcrepo4/fcrepo4/pull/470.diff,Kernel refactor [preview],0,5,cbeer,TRUE,FALSE,FALSE,FALSE
415,null,Fri Jul 25 22:47:20 CEST 2014,Sat Jul 12 02:47:09 CEST 2014,Fri Jul 25 22:47:20 CEST 2014,https://github.com/fcrepo4/fcrepo4/pull/415,lsitu,2,f189fd09a38c2965772e00c07df29e4d652bd15c,fcrepo4:master,d3b524384eca66d1b1c8c7d4359ce7a93226b8a2,lsitu:feature/sparql_form,https://github.com/fcrepo4/fcrepo4/pull/415.diff,Added form request (application/x-www-form-urlencoded) support for sparql end point; refactored the rest api codes for sparql.,1,2,awoods,FALSE,FALSE,FALSE,FALSE
354,null,Fri Nov 06 17:15:41 CET 2015,Tue May 13 20:19:37 CEST 2014,Fri Nov 06 17:15:41 CET 2015,https://github.com/fcrepo4/fcrepo4/pull/354,lsitu,6,5c889d110960432167167aa098fb5529ef14fe18,fcrepo4:master,9b5859978faecaa4389c8e4cdf9dec4413e06433,lsitu:hierarchyCRUD,https://github.com/fcrepo4/fcrepo4/pull/354.diff,Refactor CRUD in FedoraNodes and FedoraContent for transparent hierarchy support ,1,4,lsitu,TRUE,FALSE,FALSE,FALSE
345,null,Wed May 07 01:01:21 CEST 2014,Tue May 06 22:01:42 CEST 2014,Sun Jul 20 18:54:03 CEST 2014,https://github.com/fcrepo4/fcrepo4/pull/345,escowles,2,cef5926859f7fd9b8763042b5dc43905085f07ed,fcrepo4:master,ae920a1297035867537f560bb2b972d76c32496b,fcrepo4:fedora-nodes-tests,https://github.com/fcrepo4/fcrepo4/pull/345.diff,"Adding unit tests for new/refactored HEAD, OPTIONS, and POST methods of FedoraNodes",1,0,awoods,FALSE,FALSE,FALSE,FALSE
338,null,Sat May 10 03:09:03 CEST 2014,Mon May 05 20:37:38 CEST 2014,Mon Jul 07 09:47:01 CEST 2014,https://github.com/fcrepo4/fcrepo4/pull/338,cbeer,10,f2057e10a0670297df4b64775230cea9efebf12c,fcrepo4:master,0bfb112396323c78947c350bb2e89a712f408413,fcrepo4:refactor-fixity,https://github.com/fcrepo4/fcrepo4/pull/338.diff,Refactor fixity-related methods,2,3,awoods,FALSE,FALSE,FALSE,FALSE
263,null,Sat Mar 08 01:31:18 CET 2014,Thu Mar 06 20:44:24 CET 2014,Sat Jun 28 20:01:12 CEST 2014,https://github.com/fcrepo4/fcrepo4/pull/263,daines,12,63fe103a9cddc5d621ab8a34d0638330f1cfc972,fcrepo4:master,00de859ef20cd19eb2d3ee8c3629b37df58f1b05,daines:authz-pep-refactor-remove-filter,https://github.com/fcrepo4/fcrepo4/pull/263.diff,Authorization refactoring,1,16,awoods,FALSE,FALSE,FALSE,FALSE
599,null,Fri Apr 03 14:21:20 CEST 2020,Fri Apr 03 08:42:23 CEST 2020,Fri Apr 03 14:21:20 CEST 2020,https://github.com/feast-dev/feast/pull/599,zhilingc,8,e75050e6eefa486146e71dc283e5e8fec8b876f2,feast-dev:storage-refactor,455664dd6228118446506bcfafcce880854cf0f5,zhilingc:more-storage-refactor-fixes,https://github.com/feast-dev/feast/pull/599.diff,Add better code documentation to storage refactor methods,1,2,zhilingc,TRUE,FALSE,FALSE,FALSE
1084,null,Wed Aug 22 20:51:45 CEST 2018,Wed Aug 22 01:45:52 CEST 2018,Wed Aug 22 20:51:45 CEST 2018,https://github.com/flightstats/hub/pull/1084,Paul-Hess,6,2822ad4578ba0773bfa29845c60dc445639f328f,flightstats:utils-refactor-x,028617ef1f4bc4b30af1023c7c63fbe3d52c5c13,flightstats:network-refactor,https://github.com/flightstats/hub/pull/1084.diff,Network refactor,1,0,Paul-Hess,TRUE,FALSE,FALSE,FALSE
1067,null,Thu Aug 09 01:36:31 CEST 2018,Wed Aug 08 00:07:53 CEST 2018,Tue Aug 14 21:17:59 CEST 2018,https://github.com/flightstats/hub/pull/1067,Paul-Hess,163,0112270f963a1c00f65084f8464a2751dab47c73,flightstats:master,8763621b0904795fe1e449103da60922495adf0a,flightstats:utils-refactor-5,https://github.com/flightstats/hub/pull/1067.diff,Utils refactor 5,1,0,Paul-Hess,TRUE,FALSE,FALSE,FALSE
1061,null,Tue Aug 07 19:32:48 CEST 2018,Mon Jul 30 22:44:36 CEST 2018,Tue Aug 07 19:32:48 CEST 2018,https://github.com/flightstats/hub/pull/1061,Paul-Hess,8,dc7dbaa24c2fd4f7150bba92636f8bc7d4624b76,flightstats:newMaster,9144a9b2b834d10b737f502cf7cd0b77094e2000,flightstats:utils-refactor-3,https://github.com/flightstats/hub/pull/1061.diff,Utils refactor 3,1,0,Paul-Hess,TRUE,FALSE,FALSE,FALSE
578,null,Tue Aug 11 21:04:12 CEST 2015,Tue Aug 11 20:26:06 CEST 2015,Tue Aug 11 21:04:12 CEST 2015,https://github.com/forge/core/pull/578,agoncal,197,9e431bb809a1bf44aebbcd5ade2231052b0c6709,forge:master,067bc39249718a113c6cdc4494f18558cceaded0,agoncal:jsf_refactoring,https://github.com/forge/core/pull/578.diff,FORGE-2419: Refactoring the JSF Commands,1,0,gastaldi,FALSE,FALSE,FALSE,FALSE
577,null,Tue Aug 11 21:15:35 CEST 2015,Tue Aug 11 20:20:48 CEST 2015,Tue Aug 11 21:15:41 CEST 2015,https://github.com/forge/core/pull/577,agoncal,9,9e431bb809a1bf44aebbcd5ade2231052b0c6709,forge:master,86302dcae9fade02bcb447e79a441f3f2ca4078e,agoncal:FORGE-2419,https://github.com/forge/core/pull/577.diff,Forge 2419: Refactoring the JSF Commands,2,0,gastaldi,FALSE,FALSE,FALSE,FALSE
2393,null,Thu May 31 21:10:01 CEST 2018,Sat Mar 24 12:56:42 CET 2018,Thu May 31 21:10:05 CEST 2018,https://github.com/fossasia/open-event-droidgen/pull/2393,ParthivMangukiya,2,36e1ae04fd3cb5234ecade657c8c2a8dac98f200,fossasia:development,300bbc958746fbca713166f37e7a7477d031341c,ParthivMangukiya:DownloadHandler,https://github.com/fossasia/open-event-droidgen/pull/2393.diff,[WIP] refactor: Implement JSON handling in separate component,4,4,iamareebjamal,FALSE,FALSE,FALSE,FALSE
1860,null,Mon Aug 14 14:37:20 CEST 2017,Sat Aug 05 13:53:32 CEST 2017,Mon Aug 14 14:37:24 CEST 2017,https://github.com/fossasia/open-event-droidgen/pull/1860,Shailesh351,2,33f8c6ff136465f16bb37eec76b2d04c815a66a1,fossasia:development,1ee97bc8fcaa8efb75b0fc93826c081c15e65534,Shailesh351:fast-adapter,https://github.com/fossasia/open-event-droidgen/pull/1860.diff,[WIP] feat : Refactor Adapter Using FastAdapter,1,1,Shailesh351,TRUE,FALSE,TRUE,TRUE
1618,null,Thu Jun 01 19:10:41 CEST 2017,Mon May 29 05:47:38 CEST 2017,Thu Jun 01 19:42:41 CEST 2017,https://github.com/fossasia/open-event-droidgen/pull/1618,Shailesh351,3,616a132a86f7bffdd834c3783453b2f9b6567535,fossasia:development,66bd03de34ef4c85d5b1945b92c67a082356feb5,Shailesh351:codacy-app-generator,https://github.com/fossasia/open-event-droidgen/pull/1618.diff,refactor : Fix codacy issues in app generator,12,7,the-dagger,FALSE,FALSE,TRUE,FALSE
1348,null,Sat Mar 18 21:16:11 CET 2017,Sat Mar 18 13:20:59 CET 2017,Sat Mar 18 21:16:11 CET 2017,https://github.com/fossasia/open-event-droidgen/pull/1348,pranaypatel512,3,6cc3cd8c015f75a87573ac0f3d7e1858682a493e,fossasia:development,1ecd91581bba8e8f67cf0f708d49407b9ae817df,pranaypatel512:development,https://github.com/fossasia/open-event-droidgen/pull/1348.diff,Refactor MainActivity code and speaker activity view transition ,4,2,pranaypatel512,TRUE,FALSE,TRUE,FALSE
44,null,Wed Mar 01 23:32:57 CET 2017,Wed Mar 01 18:07:51 CET 2017,Wed Mar 01 23:33:00 CET 2017,https://github.com/fossasia/phimpme-android/pull/44,CloudyPadmal,2,131527da1d9595661760febf6e08816d986395a3,fossasia:master,516059797b5050019ad2472254bc56128b641233,CloudyPadmal:deprecateds,https://github.com/fossasia/phimpme-android/pull/44.diff,refactor: Replaced deprecated managedQuery() with getContentResolver().query(),3,0,CloudyPadmal,TRUE,FALSE,FALSE,FALSE
